,path,bicam_btarget,bicam_bpred,bicam_ntarget,bicam_npred,btarget,bpred,ntarget,npred
0,clock_s_000511.png,5,5,22,22,15,15,15,15
1,clock_s_002203.png,5,5,22,22,15,15,15,15
2,clock_s_000178.png,5,5,22,22,15,15,15,15
3,clock_s_000659.png,5,5,22,22,15,15,15,15
4,clock_s_002303.png,5,5,22,22,15,5,15,15
5,clock_s_000702.png,5,3,22,28,15,13,15,21
6,alarm_clock_s_001012.png,5,3,22,22,15,13,15,15
7,alarm_clock_s_000902.png,5,5,22,22,15,15,15,15
8,clock_s_000342.png,5,5,22,40,15,15,15,15
9,alarm_clock_s_000952.png,5,5,22,39,15,15,15,33
10,clock_s_000607.png,5,5,22,22,15,15,15,15
11,clock_s_000949.png,5,5,22,22,15,15,15,15
12,alarm_clock_s_000993.png,5,5,22,22,15,15,15,15
13,alarm_clock_s_000462.png,5,5,22,61,15,15,15,58
14,alarm_clock_s_000895.png,5,3,22,28,15,13,15,15
15,clock_s_002096.png,5,3,22,22,15,13,15,15
16,alarm_clock_s_001142.png,5,5,22,22,15,15,15,15
17,clock_s_000441.png,5,15,22,78,15,7,15,43
18,alarm_clock_s_000198.png,5,5,22,22,15,15,15,15
19,clock_s_000361.png,5,4,22,83,15,14,15,82
20,alarm_clock_s_000350.png,5,5,22,22,15,15,15,15
21,clock_s_000523.png,5,12,22,34,15,18,15,1
22,alarm_clock_s_001029.png,5,15,22,29,15,7,15,62
23,alarm_clock_s_001073.png,5,5,22,22,15,15,15,15
24,clock_s_002176.png,5,3,22,61,15,13,15,58
25,clock_s_000981.png,5,5,22,22,15,15,15,15
26,alarm_clock_s_000652.png,5,5,22,22,15,15,15,33
27,alarm_clock_s_000761.png,5,5,22,60,15,15,15,69
28,alarm_clock_s_000793.png,5,5,22,22,15,15,15,15
29,clock_s_000245.png,5,5,22,22,15,15,15,15
30,clock_s_000113.png,5,5,22,22,15,15,15,15
31,clock_s_000932.png,5,5,22,22,15,13,15,15
32,alarm_clock_s_000054.png,5,5,22,22,15,15,15,15
33,clock_s_002339.png,5,5,22,40,15,15,15,74
34,clock_s_001704.png,5,13,22,22,15,5,15,15
35,alarm_clock_s_000738.png,5,5,22,86,15,15,15,85
36,alarm_clock_s_000034.png,5,5,22,22,15,15,15,15
37,clock_s_001726.png,5,5,22,22,15,15,15,15
38,clock_s_000641.png,5,5,22,32,15,15,15,13
39,clock_s_001270.png,5,5,22,22,15,15,15,15
40,clock_s_000945.png,5,5,22,22,15,15,15,15
41,alarm_clock_s_000444.png,5,5,22,22,15,15,15,15
42,alarm_clock_s_000015.png,5,5,22,40,15,15,15,15
43,clock_s_002018.png,5,5,22,22,15,15,15,15
44,clock_s_000380.png,5,5,22,22,15,15,15,15
45,clock_s_001720.png,5,5,22,22,15,15,15,15
46,clock_s_001530.png,5,5,22,22,15,15,15,15
47,alarm_clock_s_000584.png,5,5,22,40,15,15,15,35
48,alarm_clock_s_000075.png,5,5,22,22,15,5,15,15
49,clock_s_002422.png,5,5,22,22,15,15,15,15
50,alarm_clock_s_000802.png,5,3,22,22,15,13,15,15
51,alarm_clock_s_000181.png,5,8,22,26,15,18,15,39
52,alarm_clock_s_001040.png,5,14,22,98,15,7,15,98
53,alarm_clock_s_000743.png,5,5,22,22,15,15,15,15
54,alarm_clock_s_000143.png,5,5,22,22,15,15,15,15
55,clock_s_000474.png,5,12,22,78,15,4,15,76
56,alarm_clock_s_000554.png,5,5,22,22,15,15,15,15
57,clock_s_001246.png,5,5,22,22,15,15,15,15
58,alarm_clock_s_000030.png,5,5,22,22,15,14,15,15
59,alarm_clock_s_000200.png,5,5,22,22,15,15,15,15
60,clock_s_000370.png,5,3,22,10,15,13,15,15
61,clock_s_001457.png,5,3,22,22,15,13,15,15
62,clock_s_000015.png,5,5,22,22,15,15,15,15
63,alarm_clock_s_000885.png,5,5,22,22,15,15,15,15
64,clock_s_002293.png,5,4,22,53,15,14,15,49
65,clock_s_001529.png,5,5,22,22,15,15,15,15
66,clock_s_001150.png,5,5,22,22,15,15,15,15
67,alarm_clock_s_001123.png,5,5,22,22,15,15,15,15
68,clock_s_002011.png,5,5,22,22,15,15,15,15
69,clock_s_001734.png,5,3,22,10,15,13,15,43
70,clock_s_000225.png,5,5,22,22,15,15,15,15
71,clock_s_001451.png,5,5,22,22,15,15,15,15
72,clock_s_002098.png,5,5,22,22,15,8,15,15
73,clock_s_001928.png,5,5,22,22,15,15,15,15
